newIndex,A_adcl,B_adcl,C_adcl,D_adcl,E_adcl
CC11CM25SCRf1dd5bbb487a45d0879683310e588eda,0.112508,0.094938,0.117225,0.141594,0.249015
CC11CM82SCR1c30fd445b2a41dc9713969780e19b5c,9e-06,9e-06,0.29093,0.187963,0.123916
CC11CM98SCR2b46ea40f3f54d1eb519b59dcc9288e9,0.053938,0.109365,0.032246,0.039973,0.07798
CC11CM38SCRee0b744e7a5348a5b2857a9f343c03d9,9e-06,8e-06,6e-06,0.24362,0.108675
CC11CM78SCRe32e9c03448a403a9990c64e9bb03c8b,7.000000000000002e-06,7.000000000000002e-06,0.020783000000000003,0.242464,0.12679300000000002
CC11CM24SCR435c2363622c4cce9ca483d56d65313e,8e-06,0.043378,0.064479,0.034541,0.078192
CC11CM76SCR0917005448134d37840480bc827ca7da,9e-06,0.06589099999999999,1e-05,0.106043,0.026154000000000004
CC11CM87SCRe7a262d01ad74ed4be6480a1131c4c48,8e-06,0.112065,0.070325,0.078696,0.033437
CC11CM42SCR4ecb1d98bde0419c852c05273fb237b3,8e-06,8e-06,0.111029,0.289406,0.084972
CC11CM95SCRb4c46bac6e7b4100b831c7a03240c442,9e-06,0.011753,7.000000000000002e-06,0.139075,0.033995
CC11CM46SCR4793713bbc584f739a30502c9f97e4d9,8e-06,7.000000000000002e-06,0.265418,0.205783,0.127139
CC11CM7SCRa14167ce47c04bc6bb83337f605f59a9,7.000000000000002e-06,0.177225,0.264144,0.200001,0.286924
CC11CM53SCRf04613957f3949e7ac53a19795a21b7c,9e-06,0.085499,0.070376,0.054412,0.178779
CC11CM76SCR42cebec118394a68b69587bab5962022,0.219657,0.194697,0.17586300000000002,0.252718,0.088439
CC11CM20SCR2ac758a4a88a4fdc87b126c62e8cafd6,0.013787,0.146848,0.222472,0.258015,0.089245
CC11CM34SCRae04270a468a4443956740e48b556c76,6e-06,0.312035,0.232018,0.201773,0.19269
CC11CM74SCR9b2f8a9597c241b59c091a640b335926,0.024695,0.012508,0.032496,0.017619,0.062825
CC11CM94SCR6c9b0812b4a14881835941b15ece02ae,0.342037,0.335845,0.423144,0.189272,0.145885
CC11CM46SCR86c0efb7f4c84ce09c5a12a93e75d3d2,9e-06,0.22872,0.13089,0.121196,0.031158
CC11CM55SCR46d1a48cd67945f7a4489f3523fd12ea,0.05744700000000001,0.072052,0.083039,0.184749,0.146799
CC11CM41SCR2b2e517ac811417bbc3e7c5626d22780,0.063398,6e-06,0.037919,0.15917,0.25319899999999995
CC11CM3SCR653b003fa3bb4565a716e57f08f38c47,1e-05,0.072351,6e-06,0.164184,0.121293
CC11CM48SCRb060056fcafa4ffe8f54144dd967969d,1e-05,6e-06,0.170727,0.087773,0.08937200000000001
CC11CM30SCR1f99d040c40647feb46e997af427217e,9e-06,7.000000000000002e-06,0.306925,0.245826,0.218715
CC11CM39SCR3f8e15d8ef0346eeb236f6e1240025e6,8e-06,0.049122000000000006,0.053578,0.052201,0.087525
CC11CM59SCR89864c2e806c4034976d05dd9fdb1b85,8e-06,0.0313,8e-06,0.12959500000000002,0.23612600000000006
CC11CM88SCRa5847a51ba9a48918f52f71bb29c6bfa,0.157506,0.098644,0.111267,0.07512200000000001,0.286964
CC11CM69SCRf090754e93d6448aa4c14b948f939e1a,8e-06,7.000000000000002e-06,6e-06,6e-06,0.222363
CC11CM85SCRb527b3fca8654eb5ba337f4b8cc514fc,0.023068,9e-06,0.022348,0.259969,0.127107
CC11CM81SCR4166b6b7c2ae4751b84bff65c1efd314,0.05316,0.149998,0.097881,0.112167,0.065455
CC11CM8SCR904dd92550514d7f8a84f1df23d770e1,5e-06,9e-06,0.097792,0.180582,0.11337
CC11CM47SCR9d80b491892245a1a7593ec43febc706,0.19412,0.097577,0.17946700000000002,0.287096,0.215959
CC11CM1SCR3084c003a338488db77fae71fb7fca4b,0.025239,0.052343,0.107564,0.164377,0.252809
CC11CM89SCR9047824498f74fb5aeadecf36af1b11e,0.059886,0.050383,0.022114,0.024616,0.216672
CC11CM22SCR9a598749093548f690b6436f6d39761a,7.000000000000002e-06,8e-06,0.050734,6e-06,0.24054
CC11CM50SCR01ae7dd4146a489d95d7b0586811a013,0.033444,6e-06,8e-06,8e-06,0.105417
CC11CM90SCRef9bbaba2cbc437ab4d2ba01c7b3c26e,7.000000000000002e-06,6e-06,0.187889,0.146763,0.12952
