ncbi_tax_id,CC11CM0,CC11CM1,CC11CM10,CC11CM11,CC11CM12,CC11CM13,CC11CM14,CC11CM15,CC11CM16,CC11CM17,CC11CM18,CC11CM19,CC11CM2,CC11CM20,CC11CM21,CC11CM22,CC11CM23,CC11CM24,CC11CM25,CC11CM26,CC11CM27,CC11CM28,CC11CM29,CC11CM3,CC11CM30,CC11CM31,CC11CM32,CC11CM33,CC11CM34,CC11CM35,CC11CM36,CC11CM37,CC11CM38,CC11CM39,CC11CM4,CC11CM40,CC11CM41,CC11CM42,CC11CM43,CC11CM44,CC11CM45,CC11CM46,CC11CM47,CC11CM48,CC11CM49,CC11CM5,CC11CM50,CC11CM51,CC11CM52,CC11CM53,CC11CM54,CC11CM55,CC11CM56,CC11CM57,CC11CM58,CC11CM59,CC11CM6,CC11CM60,CC11CM61,CC11CM62,CC11CM63,CC11CM64,CC11CM65,CC11CM66,CC11CM67,CC11CM68,CC11CM69,CC11CM7,CC11CM70,CC11CM71,CC11CM72,CC11CM73,CC11CM74,CC11CM75,CC11CM76,CC11CM77,CC11CM78,CC11CM79,CC11CM8,CC11CM80,CC11CM81,CC11CM82,CC11CM83,CC11CM84,CC11CM85,CC11CM86,CC11CM87,CC11CM88,CC11CM89,CC11CM9,CC11CM90,CC11CM91,CC11CM92,CC11CM93,CC11CM94,CC11CM95,CC11CM96,CC11CM97,CC11CM98,CC11CM99
592978,1954.0,,,,,799.0,,,,,,,,18.0,,,,,,,,471.0,,2181.0,,,606.0,,,1272.0,,,,,,,239.0,,,,,876.0,,,,313.0,557.0,,,,2193.0,,1388.0,558.0,,,1889.0,699.0,,1538.0,785.0,,,,,,816.0,,,1086.0,,,,,,732.0,1411.0,,,,172.0,,,,,,,,,,1113.0,,2268.0,369.0,596.0,,,,,569.0
649756,1269.0,,,,,,,,562.0,,,,,,,,,391.0,,,862.0,,,1371.0,,,,813.0,154.0,,,59.0,,,,,465.0,,,,,,,,,,,,,891.0,252.0,,180.0,514.0,,480.0,,,1067.0,,,1336.0,,,,,,,,,165.0,,,,,,,759.0,,,,,,628.0,1268.0,1292.0,,,,,,,,,,1841.0,1070.0,,921.0,
69824,384.0,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,298.0,,,121.0,,,,,,,,,,,,,,,,,,386.0,,,,193.0,,,167.0,,,176.0,265.0,,30.0,87.0,,,,,,,,,,,,,,442.0,,,,294.0,,,,,,331.0,,552.0,,
702444,2021.0,,,422.0,,,,,,,,,,,,,,,1050.0,,,,,,,,,4302.0,,,,,,,,,,,,,,,,,,,,,1173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.0,,
742816,4.0,4.0,,,,,,,83.0,,,7.0,,,,,40.0,22.0,60.0,,,,,,24.0,,,,,,,,,65.0,,,,,,,,,,,17.0,,,,,,111.0,,36.0,,,,78.0,55.0,,,34.0,,,91.0,,,,,21.0,,5.0,,,,,37.0,,,64.0,,,,,,,,,,,,76.0,,,,,,,,14.0,
742817,125.0,,,,482.0,,372.0,,288.0,445.0,,,,,,224.0,501.0,,,,,,,,,,,,184.0,,,,520.0,,,,,,,316.0,,,,,,,,,842.0,,,,431.0,84.0,,,,,300.0,,,,240.0,933.0,,,,,,678.0,488.0,469.0,,,328.0,,,,97.0,230.0,,384.0,,,,,,,,176.0,,,335.0,,224.0,,,,,
745368,2284.0,2584.0,305.0,613.0,1168.0,787.0,2578.0,903.0,,714.0,1972.0,101.0,769.0,,18.0,1761.0,1320.0,2119.0,320.0,1249.0,1698.0,1296.0,3004.0,1240.0,1449.0,2539.0,248.0,913.0,1192.0,3102.0,1508.0,1304.0,,2407.0,,474.0,499.0,1432.0,1611.0,165.0,644.0,550.0,,,987.0,521.0,1140.0,1071.0,,506.0,607.0,1896.0,315.0,1423.0,2162.0,613.0,1065.0,,2751.0,3241.0,61.0,1688.0,1574.0,1185.0,704.0,,1171.0,792.0,706.0,3312.0,1355.0,2007.0,,604.0,164.0,3.0,1705.0,1233.0,694.0,,4706.0,1081.0,,663.0,2531.0,3963.0,685.0,2238.0,1306.0,1166.0,1093.0,,2871.0,,3133.0,2476.0,,,,1608.0
762982,85.0,,312.0,,,,,,,,,,,,218.0,,,,,,,,,,,,286.0,,,,,,,13.0,,,,,,,,,,302.0,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762984,2813.0,,,288.0,,,,,,,,,,,6962.0,,,,,,,,,,,,,,,,987.0,,,,,,,,,,,,,,,,,,,,,,,3913.0,,467.0,,,,,,,,,,1382.0,,,344.0,463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,
816,1296.0,,542.0,,,,895.0,5686.0,4747.0,,,,,1219.0,1427.0,454.0,,,,787.0,,,,,,1541.0,,,1575.0,,,,1131.0,1623.0,,611.0,,,,739.0,,,,1217.0,,1699.0,,,,1270.0,1466.0,474.0,439.0,,,1006.0,,349.0,3946.0,,,2913.0,,,584.0,,,616.0,,802.0,3905.0,,,,,,,,1178.0,,,,52.0,59.0,11.0,,,,328.0,,155.0,80.0,252.0,,,118.0,,,,
