community,A,A_adcl,B,B_adcl,C,C_adcl,D,D_adcl,E,E_adcl,A_edpl,B_edpl,C_edpl,D_edpl,E_edpl,A_prichness,B_prichness,C_prichness,D_prichness,E_prichness,A_mindistl,B_mindistl,C_mindistl,D_mindistl,E_mindistl
CC11CM64,0.03225806451612903,0.27419354838709675,0.0967741935483871,0.46774193548387094,0.24193548387096775,0.7580645161290323,0.6557377049180327,0.967741935483871,0.2833333333333333,0.9838709677419355,0.6290322580645161,0.5645161290322581,0.6774193548387096,0.7419354838709677,0.6774193548387096,0.1774193548387097,0.1935483870967742,0.11290322580645161,0.16129032258064516,0.27419354838709675,0.03225806451612903,0.08064516129032258,0.08064516129032258,0.1935483870967742,0.24193548387096775
CC11CM65,0.017543859649122806,0.38596491228070173,0.05263157894736842,0.5964912280701754,0.2982456140350877,0.7894736842105263,0.6140350877192983,0.9824561403508771,0.21052631578947367,0.9824561403508771,0.631578947368421,0.5964912280701754,0.7017543859649122,0.631578947368421,0.6842105263157895,0.05263157894736842,0.07017543859649122,0.14035087719298245,0.10526315789473684,0.3508771929824561,0.017543859649122806,0.14035087719298245,0.10526315789473684,0.3333333333333333,0.2982456140350877
CC11CM66,0.07692307692307693,0.24615384615384617,0.1076923076923077,0.4307692307692308,0.2923076923076923,0.8461538461538461,0.7076923076923077,0.9692307692307692,0.234375,0.9846153846153847,0.6461538461538462,0.6,0.676923076923077,0.6923076923076923,0.676923076923077,0.12307692307692308,0.13846153846153847,0.13846153846153847,0.15384615384615385,0.3076923076923077,0.015384615384615385,0.06153846153846154,0.09230769230769231,0.24615384615384617,0.24615384615384617
CC11CM67,0.047619047619047616,0.20634920634920634,0.09523809523809523,0.4603174603174603,0.3333333333333333,0.7777777777777778,0.6774193548387096,0.9841269841269841,0.20634920634920634,0.9841269841269841,0.6349206349206349,0.6031746031746031,0.6507936507936508,0.8253968253968254,0.6984126984126984,0.1111111111111111,0.07936507936507936,0.14285714285714285,0.2222222222222222,0.30158730158730157,0.015873015873015872,0.14285714285714285,0.12698412698412698,0.1111111111111111,0.25396825396825395
CC11CM68,0.06779661016949153,0.3050847457627119,0.1016949152542373,0.6101694915254238,0.3389830508474576,0.7457627118644068,0.711864406779661,0.9491525423728814,0.23728813559322035,0.9830508474576272,0.576271186440678,0.576271186440678,0.6779661016949152,0.711864406779661,0.6610169491525424,0.11864406779661017,0.0847457627118644,0.06779661016949153,0.11864406779661017,0.3728813559322034,0.06779661016949153,0.15254237288135594,0.2033898305084746,0.2542372881355932,0.2542372881355932
CC11CM69,0.01694915254237288,0.23728813559322035,0.1016949152542373,0.5254237288135594,0.23728813559322035,0.7966101694915254,0.6610169491525424,0.9491525423728814,0.20689655172413793,0.9830508474576272,0.5932203389830508,0.5932203389830508,0.6949152542372882,0.6949152542372882,0.6440677966101694,0.11864406779661017,0.0847457627118644,0.11864406779661017,0.15254237288135594,0.2711864406779661,0.01694915254237288,0.11864406779661017,0.03389830508474576,0.23728813559322035,0.288135593220339
CC11CM70,0.0425531914893617,0.2978723404255319,0.06382978723404255,0.574468085106383,0.2978723404255319,0.8085106382978723,0.6382978723404256,0.9787234042553191,0.19148936170212766,1.0,0.5106382978723404,0.5531914893617021,0.7021276595744681,0.723404255319149,0.6170212765957447,0.0851063829787234,0.06382978723404255,0.19148936170212766,0.2127659574468085,0.3191489361702128,0.02127659574468085,0.10638297872340426,0.10638297872340426,0.23404255319148937,0.3617021276595745
CC11CM71,0.06382978723404255,0.2553191489361702,0.10638297872340426,0.5319148936170213,0.40425531914893614,0.851063829787234,0.5531914893617021,0.9787234042553191,0.2608695652173913,1.0,0.48936170212765956,0.5531914893617021,0.7021276595744681,0.723404255319149,0.6382978723404256,0.0851063829787234,0.0425531914893617,0.0851063829787234,0.14893617021276595,0.3829787234042553,0.02127659574468085,0.1276595744680851,0.1702127659574468,0.23404255319148937,0.2978723404255319
CC11CM72,0.07407407407407407,0.3333333333333333,0.07407407407407407,0.6111111111111112,0.2777777777777778,0.7777777777777778,0.6111111111111112,0.9444444444444444,0.18867924528301888,1.0,0.5740740740740741,0.6111111111111112,0.7222222222222222,0.7962962962962963,0.6296296296296297,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.16666666666666666,0.2777777777777778,0.0,0.1111111111111111,0.07407407407407407,0.18518518518518517,0.3333333333333333
CC11CM73,0.03773584905660377,0.2830188679245283,0.07547169811320754,0.49056603773584906,0.2830188679245283,0.7735849056603774,0.6923076923076923,0.9811320754716981,0.17307692307692307,0.9811320754716981,0.6226415094339622,0.5283018867924528,0.6415094339622641,0.7735849056603774,0.6226415094339622,0.09433962264150944,0.09433962264150944,0.05660377358490566,0.1509433962264151,0.20754716981132076,0.0,0.11320754716981132,0.07547169811320754,0.18867924528301888,0.3584905660377358
